year,sentence
1939,"fight undoubtedly influence Stalin decision sign nonaggressio n pact Germany August 1939  Stalin decision sign nonaggressio n pact Germany August 1939 also give Tokyo new appreciation Soviet fight ability 1941 help influence Japanese leade r strike not north Siberia easy target Europe colony Southeast Asia  March 10 , 1939 , address Eighteenth Party Congress Soviet Union , Stalin say Soviet Union not intend pull anyone el chestnut fire  early May 1939 , Stalin give encouragement Hitler Hitler dismiss Commissar Foreign Affairs Maksim Foreign Affairs Maksim Litvinov appoint Vyacheslav Molotov Hitler place  Stalin insist treaty would forthcoming unless British officiallyrecognized Soviet Union sizable territorial acquisition make GermanSoviet NonAggression Pact August 23 , 1939 German invasion Soviet Union , begin June 22 , 1941  Finnish leader believe Stalin bluffing , contrive border incident November 26 , 1939 , Stalin order invasion , begin Nove mber 30 , 1939  Upset Western capitulation Munich , regard effort British French leader divert Hitler eastward , March 10 , 1939 , Stalin announce Soviet Union not intend pull anyone el chestnut fire  May 3 , 1939 , Stalin give encouragement Hitler Hitler replace Commissar Foreign Affairs Maxim M Stalin quickly act fall France cash remain chip pact August 1939 , annex Baltic state take Bessarabia northern Bukovina Romania  Unsentimental matter , August 1939 Stalin arrange nonaggression pact Germany allow Hitler invade Poland without fear war Soviets  Finnish leader reject Stalin demand territory Karelia , November 1939 Stalin order Soviet force invade Finland order secure territory base potential German attack  high commissioner Allied Council Austria , 937 Keyes , Roger John Brownlow 18721945 , 937938 appointment , 937 Boxer Uprising , 937 commander Dover Patrol , 938 commodore char ge submarine service , 937 Conservative member Parliament , 938 date place birth , 937 death , 938 director combine operation , 938 fall Prime Minister Neville Chamberlain , 938 liaison ficer King Leopold III Belgium , 938 peer , 938 promotion , 937 , 938 son , 938 Keynes , John Maynard , 712 Khalkhin Gol , Battle MaySeptember 1939 , 938939 casualty count , 939 command ficers , 938 consequence , 939 definition , 938 description , 938 outcome , 938939 precipitate event , 938 Khan , Noor Inayat , 1811 Kharkov , Battles 19411943 , 939941 casualty count , 940 command ficers , 939 , 940 Hitler , Adolf , , 940 Kharkov , importance , 939 Operation BARBAROSSA , 939 photograph , 940 Red Army Winter fensive , 939 Second Battle Kharkov , 939 significance , 940 Third Battle Kharkov , 939940 Kholm Pocket January 23 May 5 , 1942 , 941942 attempt relieve , 941 command ficers , 941description , 941 Hitler , Adolf , , 941 Kholm Shield award , 941 outcome , 941 significant Soviet attack , 941 Khozin , Mikhail Semenovich 18961979 , 942 Khrushchev , Nikita , 1630 Kiev Pocket , Battle August 21 September 26 , 1941 , 942943 commander , 942 consequence , 943 definition , 942 description , 943 precipitate event , 942 Stalin , Joseph , 943 Kikkawa Kiyoshi 19001943 , 943944 Battle Cape St"
1940,"Reeder priority include advance position Germanic Flemish population expense francophone Walloons accordance July 1940 order German leader Adolf Hitler , ensure Belgian industry harness war machine Reich administer Belgium little German manpower possible  July 1940 , Schutzstaf fel SS among 12 new field marshal create Adolf Hitler  term collaboration actually first use course meeting V ichy head state Marshal Henri Philippe Ptain German leader Adolf Hitler Montoiresur Loire October 24 , 1940  Degrelle praise Adolf Hitler brought Hitler arrest potential fifth columnist Belgian authority May 1940 , Germans invade  conquest Germany natural extension Operation WESERBUNG , Adolf Hitler plan take Norway April 1940  BettmannCorbis early 1940 , Dietrich assign command Leibstandarte SS Adolf Hitler LSSAH , become Panzer grenadier divisi 1942  fall 1940 , follow German Luftwaf fe failure drive Royal Air Force sky Britain , Adolf Hitler order plan drawn invasion Soviet Union  February 1940 , Adolf Hitler assign Falkenhorst task planning German invasion Norway Denmark , partly general earlier experience Finland  Certainly success Germa n leader Adolf Hitler May 1940 CASE YELLOW FALL GELB , assault France Low Countries , rely extent specific error judgment French British politicalmilitary leadership great forethought might well prevent  toll British Imperial shipping dramatically increase autumn 1940 Adolf Hitler declare August 17 , 1940 total blockade British Isles  October 1940 , without inform ally Adolf Hitler , Italian dictator Benito Mussolini launch invasion Albania  HitlerFranco Meeting Hendaye October 23 , 1940 meeting German dictator Adolf Hitler Spanish dictator Francisc Franco , take place October 23 , 1940 , Hendaye , small French town Atlantic coast near border Spain  Promoted field marshal July 1940 , Kesselring continued command Luftflotte 2 Battle Britain July 10September 30 , 1940 , Kesselring advise Adolf Hitler concen trate London bring Royal Air Force RAF Royal Air Force RAF might destroyed  Milch recommend animmediate descent Britain follow evacuation British Expeditionary Force Dunkerque May 26June 4 , 1940 , idea reject Adolf Hitler  November 1940 , Molotov go Berlin confer Adolf Adolf Hitler define German Soviet sphere influence , negotiation fail , Adolf Hitler decide attack Soviet Union  October 1940 , Ptain met Adolf Hitler Montoiresur Loire  Romanian marshal dictator Ion Antonescu Romania meet German chancellor Adolf Hitler November 1940 sign ripartite Pact , allied Romania Germany , Japan , Italy  Following successful German occupation Norway progress German Army France , Grand Admiral Erich Raeder order second study present result surpris ed Adolf Hitler June 4 , 1940  German general beg additional time , terrible winter weather lead Adolf Hitler reluctantly agree delay ultimately postpone invasion spring 1940  Retired army year Adolf Adolf Hitler purge general , Stlpn agel recall active duty rank general infantry 1940  Progress slow significantly 1940 , however , Adolf Hitler suspend weapon resea rch project could not place production immediately  February March 1940 , Roosevelt dispatch Welles well publicize peace mission Rome , Berlin , Paris , London , purportedly explo possibility negotiate peace Germany launch Germany anticipate sprin g offensive , prove impossible , detach Italian dictator Benito Mussolin German leader Adolf Hitler  late 1940 counter Russian move solidify flank attack Soviet Union Operation BARBAROSSA June 22 , 1941 , German leader Adolf German leader Adolf Hitler force Balkan state join Axis alliance  Reich Economics Minister Walter Funk , Memorandum Hermann Gring , Proposals New Order Europe , August 6 , 1940I n r c n late June 1940 , Hermann Gring , Adolf Hitler deputy , instruct W alter Funk , Reich economics minister , prepare submit proposal New Order Europe  Robert Ley , Director German Labor Front , Reported Swedish Press , September 15 , 1940I n r c n February 1940 , Adolf Hitler instruct Robert Ley , head German Labor Front , government agen cy whose aim welfare German people , prepa scheme comprehensive oldage pension  21 Operation BARBAROSSA , Invasion Russia , December 18 , 1940I n r c n end 1940 , dispute Soviet Union Finland Bulgaria lead Adolf Hitler conclude Russia would not acquiesce indefinitely German domination Europe "
1940,"Benito Mussolini Italian force invade Egypt Libya September 1940  October 28 , 1940 , Italian dictator Benito Mussolini sent Hitler army Greece Albania , withou inform Hitler advance  September 13 , 1940 , three month Italy enter World War II , Italian dictator Benito Mussolini order ed commander Italian force Libya Marshal Rodolfo Graziani invade Egypt General Mario Berti Tenth Army  October 1940 , without inform ally Adolf Hitler , Italian dictator Benito Mussolini launch invasion Albania  Greece Campaign , Italian October 28 , 1940 March 1941 April 1939 , Italian dictator Benito Mussolini order Italian Army invade Albania secure control Adriatic Sea  month British raid Taranto November 11 , 1940 , Italian dictator Benito Mussolini make fleet commander , Admiral Inigo Campioni , deputy chief staff name Iachino replace Campioni  Germ invade France June 1940 , Italian dictator Benito Mussolini could not resist opportunity grab Italian dictator Benito Mussolini share spoil  Benito Mussolini , Speech W ar Entry , June 10 , 1940 61  Benito Mussolini , Speech W ar Entry , June 10 , 1940 , 20272028 61  Benito Mussolini , Speech W ar Entry , June 10 , 1940 , 2027 2028 doc  accept responsibility Benito Mussolini , Speech W ar Entry , June 10 , 1940 , 2027 2028 doc failure , 11711 172 adolescent , 1170 Albania , 91 Ambrosio , V ittorio , 91 arrest , 1106 Austria , 187 Avanti daily , 1170 avoid compulsory military service , 1170 Balbo , Italo , 202 Battle Calabria , 335 Bergamini , Carlo , 245 Blackshirt squad , 1170 building fascist ganization , 1170 Cavagnari , Domenico , 374 Ciano , Galeazzo , Conte di Cortellazo , 420 coup , 101 date place birth , 1170 date overthrow , 91 death , 1171 De Bono , Emilio , 504deposing Mussolini , 1171 Fasci di Azione Rivoluzionaria Fasci Revolutionary Action , 1170 fascio define , 1170 Fascio di Combattimento Combat Bands , 1170 Fasci Rivoluzionario dAzione Internazionalista Revolutionary Fasci International Action , 1170 full name , 1170 Greece Campaign , 735 , 736 , 737 hallmark Italian state military Mussolin , 1171 Hitler rescue , 1171 Il Popolo dItalia People Italy daily , 1170 invasion Albania , 730 invasion Greece , 206 Italian counterfleet idea , 374 Italian nationalism , 1170 Italian Regia Aeronautica Italian Air Force , 302 Jewish question , 129 La Lotta di Classe Class Struggle , 1170 military service , 1170 motivation , 1172 national prominence , 1170 naval operation Mediterranean Theater , 1104 , 1106 North Africa campaign , 1236 Petacci , Clara , 1171 photograph , 1164 , 1171 policy , 1170 Regia Marina , 264265 rescue , 1519 RomeBerlin Axis , 1171 teacher , 1170 war delay request , 375 Mussolini , Edda , 420 Mutaguchi Renya 18881966 , 1172 date place birth , 1172 death , 1172 military education , 1172 promotion command , 1172 war crime trial , 1172 Mut Akira 18921948 , 11721173 atrocity commit Japanese troop , 1172 date place birth , 1172 execution , 1173 military education , 1172 SinoJapanese dispute , 1172 , 1173 war crime trial China Philippines , 1173 Myitkyina , siege MayAugust 1944 , 11731174 Chindits , 1174 code name , 1173consequences , 1174 definition , 1173 description , 11731 174 Merrill Marauders , 1173 , 1174 Slim , Sir W illiam , 1173 , 1174 success Northern Burma Campaign , 1174Nagano Osami 18801947 , 1175 date place birth , 1175 death , 1175 military education , 1175 promotion command , 1175 siege Port Arthur , 1175 war crime trial , 1175 W orld W ar , 1175 Nagasaki , bombing August 9 , 1945 , 11761177 Ashes Death , 1176 Beahan , Kermit , 1176 Bockscar , 1176 definition , 1176 description , 1176 destruction cause , 1176 Fat Man bomb , statistic , 1176 letter Japanese physicist Professor F "
1940,"Churchill gover nment crisis May 1940 , Chamberlain force resig n Churchill become prime minister May 1940 , Conservative Winston L Library Congress , Neville Chamberlain lose Neville Chamberlain support House Commons , several day emotio nal debate , Neville Chamberlain replace Churchill May 10 , 1940 , multiparty national government  Churchill become prime minister May 10 , 1940 , Ismay serve Winston L Churchill 1940 YOU.S  March 1940 Britain assemble 6,000 mine , Churchill want begin deploy 6,000 mine Rhine  late 1940 , Prime Minister Churchill commission Spears major general sent Prime Minister Churchill personal representative France  pledge not sufficient Churchill , order Operation CATAPUL June 1940  Churchill succeed Chamberlain prime minister May 1940 , prospect horrify Halifax much condemnation later fell Chamberlain  Churchill succeed Chamberlain prime minister May 1940 , prospect horrify Halifax  Churchill succeed Chamberlain prime minister May 1940 , prospect horrify Halifax remain foreign secretary December 1940 , Winston L Churchill succeed Chamberlain prime minister May 1940 , prospect horrify Halifax become British ambassador United States  W inston Churchill , Speech British House Commons , August 20 , 1940 70  See Aitken , W illiam Maxwell 18791964 Beck , Ludwig 18801944 , 234236 assassination attempt Hitler , 235 chief ruppenamt roop fice , 234 coup Hitler , 235 date place birth , 234235 death , 235 military education , 234 Operation VALKYRIE , 235 photograph , 235 promotion command , 234 significance , 234 Belgium , 236238 Allied liberation , 237 Antwerp , 237 Ardennes fensive Battle Bulge , 237 Comite Galopin , 237 Flemish province , 236 French alliance renouncement , 236 geographic location , 236German invasion May 10 , 1940 , 236 German occupation , 237 King Leopold , 236 , 237 King Leopold III , 237238 liberation port Antwerp , 237 linguistic line , 236 neutrality , 236 occupation government , 237 Pierlot , Hubert , 236 population 1939 , 236 resistance Germans , 237 secretariesgeneraux , 237 Walloon area south Flanders , 236 Belgium , Air Force , 238 Albert Canal air strike , 238 battle , 238 date form , 238 incorporation plane , 238 Luftwaf fe destruction , 238 size , 238 Belgium , Army , 238239 Belgian campaign , 238 British French troop , 238239 casualty , 238 Churchill , W inston L Blood , oil , ear , Sweat W inston Churchill , Speech British House Commons , May 13 , 1940 , 2026 doc  W e Shall Never Surrender W inston Churchill , Speech British House Commons , June 4 , 1940 , 20262027 doc  Finest Hour W inston Churchill , Speech British House Commons , June 18 , 1940 , 20282029 doc  W inston Churchill , Speech British House Commons , August 20 , 1940 , 2040 2043 doc  Blood , oil , ear , Sweat W inston Churchill , Speech British House Commons , May 13 , 1940 , 2026 59  Shall Never Surrender W inston Churchill , Speech British House Commons , June 4 , 1940 , 20262027 60  Finest Hour W inston Churchill , Speech British House Commons , June 18 , 1940 , 20282029 62  W inston Churchill , Speech British House Commons , August 20 , 1940 , 20402043 70 "
1940,"Modified craft continued use war , however example , 1940 , Germans assemble vessel Operation SEA LION , Germans plan crossChannel invasion Britain , 1942 1944 , General Douglas MacArthur force use modify craft Southwestern Pacific  Willoughby met General Douglas General Douglas MacArthur mid1930s Fort Leavenworth , 1940 general arrange General Douglas MacArthur assign ment Philippines "
1940,"warni ng gesture Japan 1940 , however , President Franklin D also emphasize import ance technological innovation proficiency national security .In June 1940 , Bush present President Franklin D October 1940 recommendation Presi dent Franklin D 1940 , Forrestal resign Forrestal position join Franklin D 1940 , President Franklin D May 1940 , Knudsen resigne Knudson position serve National Defense Advis ory Commission appoint President Franklin D summer 1940 , President Franklin D Seeking bipartisan support Stimson foreign policy , June 1940 Democratic president , Franklin D party nominee 1940 presidential race , poll 22 million vote lose incumbent President Franklin D United States National Defense Advisory Commission Directive , August 31 , 1940 Sent President Franklin D Roosevelt , Message Congress Recommending AdditionalAppropriations National Defense , July 10 , 1940I n r c n summer 1940 , stun recent German success Europe impel President Franklin D May 1940 German force appear likely defeat France , President Franklin D Roosevelt , Fireside Chat National Security Common , December 29 , 1940I n r c n 1940 come end , Franklin D Roosevelt , Speech , Arsenal Democracy , December 29 , 1940 , Fireside Chat Files State Department , 1940 , Franklin D"
1940,"October 28 , 1940 , Italian dictator Benito Mussolini sent Hitler army Greece Albania , withou inform Hitler advance  November 1940 , Hitler force Hungary andRomania join Axis power accept German troop  Degrelle praise Adolf Hitler brought Hitler arrest potential fifth columnist Belgian authority May 1940 , Germans invade  July 1940 , Hitler award Oak Leaves Knight Cross Iron Cross  follow January 1940 compromise original German plan , would met Allied strength , Generals Erich von Manstein Heinz Guderian convince Hitler abando n approach favor concentrate bulk resource southern axis  France Germany sign ceasefire June 22 , 1940 , operation conti nued Hitler insistence Italians agree armistice June 25  intervention Battle Britain July 10September 30 , 1940 , however , negatively affected German ef fort lead loss influence Hitler  September 17 , 1940 , Hitler cancel Operation SEE LION crossChannel invasion England , May 1941 air assault abate  Hitler want Spain enter war January 1940 attack take Gibraltar , promising send German force assist Spanish force  defeat France certain Mussolini join Hitler declare war , June 10 , 1940 , expectation join spoil , especially North Africa  Keitel headquarters responsible one operation World War II 1940 Denmark Norway Campaign , German commander staff consistent ly bypass OKW go directly Hitler  July 1940 , Leebwas among general rewa rded Hitler promotion field marshal  Hitler promote Hitler field marshal July 1940  October 1940 , without consult Hitler , order Italian force invade Greece Albania  April 1940 Norwegian Campaign end brilliant strategic success Hitler , April 1940 Norwegian Campaign also ruin German surface navy  Convinced Allies planning Norwegian intervention , Hitler begin February 1940 prepare Operation WESERBUNG WESER EXERCISE , Weser German river , German occupation Denmark Norway  colonel general lead Sixth Army May 10 , 1940 , invasion France Low Countries , although colonel general vocal protest German atrocity Poland colonel general opposition violation neutrality Belgian Netherlands permanently alienate colonel general Hitler  May 29 , 1940 , Romaniangovernment announce Romaniangovernment acceptance Hitler plan new European order  1940 , Rommel use Rommel access Hitler secure command 7th Panzer Division lead access Hitler spectacular fashion invasion France  August 1 , 1940 , Hitler directive order Luftwaf fe switch Hitler directive preinvasion tactic strategic air offensive prepared switch target time new invasion date set  Following German defeat France , Hitler met Franco Hendaye FrenchSpanish border October 23 , 1940 , demand Franco enter war  attitude nonbelligerency not neutrality infuriate Hitler , even consider invade Spain Operation FELIX part Medi terranean strategy follow Medi terranean defeat July 10 September 30 , 1940 , Battle Britain  April 4 , 1940 , Hitler decide operation would begin five day later  Initially , Hitler intentio n opening new front Northern Europe , midDecember Hitler set January 14 , 1940 , start date western offensive , postpone  July 19 , 1940 , Hitler promote field marshal , March 1941 , Witzleben command Army Group D Duel 10 May31 July 1940 EightyDay Struggle Chur chill Hitler  December 1940 , instruct German military prepare launch operation follow spring , campaign Hitler anticipate would swift decisive  , 184 Columbo , 184 conscription , 183declaration war Germany , 183 defense Port Moresby , 185 division , 183 El Alamein , 184 growth , 183 Java , 184 MacArthur , Douglas , 184185 Middle East , 183184 Milne Bay , 185 North Africa , 184 number casualty suf fered war , 185 number men woman serve war , 185 number prisoner war recover war , 185 Papua New Guinea , 185 Second Australian Imperial Force , 184 Singapore , 184 Southwest Pacific Command , 184 Australia , Navy , 185186 buildup , 185 combat action , 185186 duty Pacific , 186 formal name , 185 Italy , 185 Japanese air raid Darwin , 186 Mediterranean , 185 number men woman serve war , 186 prewar strength , 185 requisition , 185 ship conversion , 185 sinking Perth , 186 sinking Sydney , 186 Austria , 186188 W orld W ar , 186 air attack , 188 Allied military occupation , 188 annexation , 186 Anschluss union Germany , 186 , 187 , 188 antiSemitism , 188 Austrian Army , 187 , 188 Christian Socialists , 186 division , 188 Dollfuss , Engelbert , 186 , 187 geographic location , 186 Hitler , Adolf , , 186 , 187 Mussolini , Benito , 187 Nazi banner swastika hung plaza front Schloss Esterhazy , 187 image Nazi propaganda , 186 new constitution , 186new constitution , 186 nullification Anschluss union , 188 Ostmark , 188 plebiscite issue Anschluss union Germany , 187 plot government , 187 Red Army , 188 Renner , Karl , 188 resistance group , 188 Schusschnigg , Kurt , 187 SeyssInquart , Arthur , 187 Social Democrats , 186 Treaty SaintGermain , 186 Automedon , sinking November 1 1 , 1940 , 188189 attack German commerce raider Atlantis , 188 British W ar Cabinet minute , 188189 Ole Jacob ship , 189 Rogge , Bernhard , 189 surrender Automedon , 188 auxiliary vessel , 189191 aviation ship , 189190 catapultassisted merchant ship , 190 coastal patrol craft , auxiliary minesweeper , submarine chaser , 189 conversion fishing vessel , 189 fleet train , 190191 German Navy submarine tender , 190 image merchant aircraft carrier MACs , 190 mine destruction vessel Sperrbr echer , 189 overview , 189 requisition , 189 AVALANCHE , Operation , 877 See also Salerno Invasion September 9 , 1943 Avon , First Earl  See Aitken , W illiam Maxwell 18791964 Beck , Ludwig 18801944 , 234236 assassination attempt Hitler , 235 chief ruppenamt roop fice , 234 coup Hitler , 235 date place birth , 234235 death , 235 military education , 234 Operation VALKYRIE , 235 photograph , 235 promotion command , 234 significance , 234 Belgium , 236238 Allied liberation , 237 Antwerp , 237 Ardennes fensive Battle Bulge , 237 Comite Galopin , 237 Flemish province , 236 French alliance renouncement , 236 geographic location , 236German invasion May 10 , 1940 , 236 German occupation , 237 King Leopold , 236 , 237 King Leopold III , 237238 liberation port Antwerp , 237 linguistic line , 236 neutrality , 236 occupation government , 237 Pierlot , Hubert , 236 population 1939 , 236 resistance Germans , 237 secretariesgeneraux , 237 Walloon area south Flanders , 236 Belgium , Air Force , 238 Albert Canal air strike , 238 battle , 238 date form , 238 incorporation plane , 238 Luftwaf fe destruction , 238 size , 238 Belgium , Army , 238239 Belgian campaign , 238 British French troop , 238239 casualty , 238 Churchill , W inston L battle Stalingrad , 561 Berlin fensive , 561 defense Moscow , 559 Dnieper , Battle , 562 map force ratio , 559 German invasion plan , 557 German invasion plan , problem , 559 German supply system , 559 Hitler , Adolf , , 559 invasion Soviet Union , 557 map Battle Dnieper , 1940 , 562 map Eastern Front , 19441945 , 560 map Eastern Front , July 16 , 1941December 5 , 1941 , 558 Operation BARBAROSSA , 557 Operation CITADEL , 561 Operation TAIFUN typhoon , 559 Operation URANUS , 561 siege Leningrad , 561 Soviet fen , 559 , 561 surrender Germany , 561 Eastern Solomons , Battle August 2225 , 1942 , 562564 definition , 562 description , 563564 Fletcher , Frank , 563 outcome , 564 photograph , 563 reason , 562 Tanaka Raizo , 563 Yamamoto Isoroku , 562 , 563 , 564 amato mystery , 564East Indies Fleet  accept responsibility Benito Mussolini , Speech W ar Entry , June 10 , 1940 , 2027 2028 doc failure , 11711 172 adolescent , 1170 Albania , 91 Ambrosio , V ittorio , 91 arrest , 1106 Austria , 187 Avanti daily , 1170 avoid compulsory military service , 1170 Balbo , Italo , 202 Battle Calabria , 335 Bergamini , Carlo , 245 Blackshirt squad , 1170 building fascist ganization , 1170 Cavagnari , Domenico , 374 Ciano , Galeazzo , Conte di Cortellazo , 420 coup , 101 date place birth , 1170 date overthrow , 91 death , 1171 De Bono , Emilio , 504deposing Mussolini , 1171 Fasci di Azione Rivoluzionaria Fasci Revolutionary Action , 1170 fascio define , 1170 Fascio di Combattimento Combat Bands , 1170 Fasci Rivoluzionario dAzione Internazionalista Revolutionary Fasci International Action , 1170 full name , 1170 Greece Campaign , 735 , 736 , 737 hallmark Italian state military Mussolin , 1171 Hitler rescue , 1171 Il Popolo dItalia People Italy daily , 1170 invasion Albania , 730 invasion Greece , 206 Italian counterfleet idea , 374 Italian nationalism , 1170 Italian Regia Aeronautica Italian Air Force , 302 Jewish question , 129 La Lotta di Classe Class Struggle , 1170 military service , 1170 motivation , 1172 national prominence , 1170 naval operation Mediterranean Theater , 1104 , 1106 North Africa campaign , 1236 Petacci , Clara , 1171 photograph , 1164 , 1171 policy , 1170 Regia Marina , 264265 rescue , 1519 RomeBerlin Axis , 1171 teacher , 1170 war delay request , 375 Mussolini , Edda , 420 Mutaguchi Renya 18881966 , 1172 date place birth , 1172 death , 1172 military education , 1172 promotion command , 1172 war crime trial , 1172 Mut Akira 18921948 , 11721173 atrocity commit Japanese troop , 1172 date place birth , 1172 execution , 1173 military education , 1172 SinoJapanese dispute , 1172 , 1173 war crime trial China Philippines , 1173 Myitkyina , siege MayAugust 1944 , 11731174 Chindits , 1174 code name , 1173consequences , 1174 definition , 1173 description , 11731 174 Merrill Marauders , 1173 , 1174 Slim , Sir W illiam , 1173 , 1174 success Northern Burma Campaign , 1174Nagano Osami 18801947 , 1175 date place birth , 1175 death , 1175 military education , 1175 promotion command , 1175 siege Port Arthur , 1175 war crime trial , 1175 W orld W ar , 1175 Nagasaki , bombing August 9 , 1945 , 11761177 Ashes Death , 1176 Beahan , Kermit , 1176 Bockscar , 1176 definition , 1176 description , 1176 destruction cause , 1176 Fat Man bomb , statistic , 1176 letter Japanese physicist Professor F "
1940,"Even , despite scorchedearth policy Jiang follow , region Jiang cede Japanese rulefrom March 1940 exercise puppet regime renegade Chinese politician Wang Jingwei Wang Ching weiincluded China lead city , China major industrial area , China fertile densely populate agricultural region  Jiang repeatedly sought assistance Western power especially United States Britain , 1940 Jiang receive modest American financial military aid imposition limited economic sanction Japan "
1940,"rapid collapse Franc e MayJune 1940 , Soviet leader Joseph Soviet leader Joseph Stalin move swiftly secure gain promise Soviet leader Joseph Stalin August 1939 SovietGer man pact  late June 1940 , Soviet leader Joseph Stalin order annexation Romanian province Bessarabia northern Bukovina  instance , Ilya Ehrenbu rg , veteran Spanish Civil War , found Izvestia longer publish Izvestia article Izvestia return Soviet Union France 1940 , even though Joseph Stalin grudgingly approv ed Izvestia novel Fall Paris first part appear 1941  wake defeat France June 1940 , Soviet leader Joseph Stalin cashed Soviet leader Joseph Stalin remain chip  early 1940 , Soviet President Joseph Stalin contemplate move ground Comintern existence make Comintern existence easy depict communist party country Sovietcontrolled subversive organization "
1940,"May 1940 Marshall promote brigadier genus l Marshall prom oted major general October 1940 command 9th Infantry Division Fort Bragg , North Carolina , November July 1941  Marshall , Ridgway promote lieutenant colonel July 1940 , colonel December 1941 , temporary brigadier general January 1942 "
1940,"Roosevelt respond negotiate Destroyers forBases Agreement August 1940 , whereby United States transfer 50 World War Ivintage destroyer Britain exchange naval base right British Caribbean Islands North America  December 1940 , British resource run low , Churc hill write Roosevelt request extensive YOU.S  intervention , Roosevelt mask ed transfer deal announce Septemb er 3 , 1940 , form executive order , not subject congression al approval  December 1940 , Roosevelt appoint Holcomb second term commandant , February 1942 , Holcomb promote lieutenant general  Kennedy strongly oppose Roosevelt bid third term 1940 , believe would ultimately lead war  Roosevelt tapped Nelson head Treasury Department procurement division May 1940  Roosevelt policy seem presage American involvement World War II , 1940 Rankin ran Congress Montana  Following defeat France June 1940 , Roosevelt pledge support Britain every manne r short declare war  1940 , Roosevelt stun leader aviation industr ask leader aviation industr produce seem impossible goal 50,000 airplane end war , United States produce nearly 300,000  Following fall France May 1940 , Roosevelt increase Roosevelt goal 50,000 aircraft army navy together  Roosevelt found blame laid increasingly necessary circumvent Congr es Neutrality Acts war crept ever closer 1940 1941  Wallace visibility office persuade Roosevelt choose Wallace Wallace vice presidential run mate 1940 , despite misgiving conservative Democratic Party member claimed Wallace intellectual  February March 1940 , Roosevelt dispatch Welles well publicize peace mission Rome , Berlin , Paris , London , purportedly explo possibility negotiate peace Germany launch Germany anticipate sprin g offensive , prove impossible , detach Italian dictator Benito Mussolin German leader Adolf Hitler  Roosevelt , Mess age Congress Recommending Additional Appropriations National Defense , July 10 , 1940 66  Roosevelt , December 7 , 1940 79  Roosevelt , Fireside Chat National Security Common , December 29 , 1940 81  Roosevelt , Message Congress Recommending AdditionalAppropriations National Defense , July 10 , 1940I n r c n summer 1940 , stun recent German success Europe impel President Franklin D New York Times report , September 13 , 1940 , Roosevelt sent directive YOU.S  Roosevelt , Message Congress Defense Contracts Labor Policy , September 13 , 1940 , Public Papers Addr es Franklin D Roosevelt , 7 December 1940 , enclose Lord Lothian Roosevelt , 8 December 1940 , Folder Diplomatic Correspondence Great Britain Military Situation December 1940 , Box 34 , Presidential Safe Files , Franklin D Roosevelt , Fireside Chat National Security Common , December 29 , 1940I n r c n 1940 come end , Franklin D Roosevelt , Speech , Arsenal Democracy , December 29 , 1940 , Fireside Chat Files State Department , 1940 , Franklin D , 333 , 334 image codename , 333 Jiang Jieshi Chiang Kaishek , 333 , 334 image overview discussion , 333 photograph , 333 primary participant , 333 Roosevelt , Franklin Delano , 333 , 334 image Stalin , Joseph , 333 Tehran Conference , 333 Calabria , Battle July 9 , 1940 , 334335 alternative name , 334 Campioni , Inigo , 334 , 335 consequence , 335 Cunningham , Andrew B Roosevelt , December 7 , 1940 , 20602063 doc  Roosevelt , Message Congress Recommending Additional Appropriations National Defense , July 10 , 1940 , 20362037 66  Roosevelt , December 7 , 1940 , 20602063 79  Roosevelt , Fireside Chat National Security Common , December 29 , 1940 , 20642067 document 1941 , 20672141 81  Roosevelt , Message Congress Recommending Additional Appropriations National Defense , July 10 , 1940 , 2036 2037 doc  Roosevelt , Fireside Chat National Security Common , December 29 , 1940 , 20642067 doc "
1940,"Stalin shock speed Germany defeat France 1940  success German tank division France 1940 lead Stalin reverse Stalin decision take fall 1939 eliminate five Soviet tank corp  Soviet force perform poorly FinnishSoviet War Winter War , Stalin appoint Timoshe nko command Finland January 7 , 1940  , 333 , 334 image codename , 333 Jiang Jieshi Chiang Kaishek , 333 , 334 image overview discussion , 333 photograph , 333 primary participant , 333 Roosevelt , Franklin Delano , 333 , 334 image Stalin , Joseph , 333 Tehran Conference , 333 Calabria , Battle July 9 , 1940 , 334335 alternative name , 334 Campioni , Inigo , 334 , 335 consequence , 335 Cunningham , Andrew B"
