,year,country,sentence
843,1940,Netherlands,"matter reste Germans showe effective parachute airlanding troop carry spectacular landing 1940 Norway , Denmark , Netherlands "
844,1940,Netherlands,"summer 1940 , German conquest Western Europe brought Japanese demand Britain , France , Netherlands forbid sale transit war supply China Asian colony "
845,1940,Netherlands,"German paratrooper descend Junkers Ju72 transport aircraft Hague commencement German invasion Netherlands , May 10 , 1940 "
846,1940,Netherlands,"May 10 , 1940 , German force invade Netherlands Queen Wilhelmina characterize flagrant violation international law "
847,1940,Netherlands,"French force fall back toward Antwerp , make Dutch position untenable.German soldier observe burning building force attack Rotterdam May 1940 invasion Netherlands "
848,1940,Netherlands,"May 1940 , German force quickly overran Netherlands , although Dutch royal family government official escape abroad establish governmentinexile London "
849,1940,Netherlands,German airborne force subsequently secure bridge route across Netherlands Belgian frontier May 1940 occasion Germany invas ion France Low Countries 
850,1940,Netherlands,"Germany invade conquer Netherlands May 1940 , O21 O24 escape Britain , Royal Navy designer study take little interest breathing device , remove submarine reentered service "
851,1940,Netherlands,"Germany invade Netherlands May 10 , 1940 , immediately clear country would defeat "
852,1940,Germany,"May 10 , 1940 , Germany capture bridge airfield Holland , glider borne troop attack capture Fort Eben Emael Belg ium , open German route Low Countries invasion France "
853,1940,Germany,"Germany defea Battle Britain July 10September 30 , 1940 reveal flaw policy strategic standpoint , aircraft Heinkel He111 , Dornier Do17 , Junkers Ju87 prove ineffective technologic ally advanced British fighter "
854,1940,Germany,"assistance Germany particularly supply aircraft engine allow Italian aircraft industry make modest increase 2,142 aircraft produce 1940 3,503 aircraft 1941 , Italy weak industrialsector could not withstand impact Allied bombing campaign , production drop 2,818 aircraft 1942 967 aircraft time Italy switch side September 1943 "
855,1940,Germany,"Germany Entering service September 1940 , twinengine , threeseat FockeW ulf Fw189 Uhu Owl serve primary tactical reconnaissanc e aircraft Germ Army , especially Eastern Front "
856,1940,Germany,"latter include establishment Selective Service September 1940 , 1940 Destroyersfor Bases Agreement , LendLease March 1941 military aid program various nation , administration aggressive naval policy Germany Atlantic "
857,1940,Germany,"Lacking land border Axis territory 1940 , Western Allies could never contribute Germany defeat beaten Japan not master amphibious operation , complex military activity "
858,1940,Germany,"May 10 , 1940 , however , Germany struck Ardennes toward Meuse near Sedan , planning swing northwest wide arc toward coast.German Army tank Panzerkampfwagen II , PzKpfw II W arsaw , Poland , fight capital city late September 1939 "
859,1940,Germany,"ship sail Germany March 1940 , reach operating area South Atlantic , Indian Ocean , South Pacific end April "
860,1940,Germany,"Germany invade France May 1940 , Aubo yneau reassign Mediterranean liaison officer British Mediterranean force Admiral Sir Andrew Browne Cunningham "
861,1940,Germany,"Germany invade France May 1940 , marked French inferiority Germany air cause Bergeret humiliation "
863,1940,Germany,"France surrendere Germany June 1940 , initially remain Vichy force take Casablanca Division southern Morocco "
864,1940,Germany,"Germany invade May 10 , 1940 , Blanchard follow prearrange French strategic plan , move army forward Dyle River support Belgians "
865,1940,Germany,"Arrested order collaborationist Vichy government follow Germany defeat France July 1940 , Blum put trial Riom February 1943 , along leader Third Republic , charge responsibility French defeat "
866,1940,Germany,"Germany occupy Denm ark 1940 , Bohr refuse German request scientific collaboration active antiNazi resistance "
867,1940,Germany,"Following Franc e armistice Germany late June 1940 , Boisson first vehemen tly demand French force continue fight , soon Vichy government head state , Marshal Philipp e Ptain , sent Dakar governor general French West Africa high commissioner French Africa "
868,1940,Germany,"Bose arrest British authority June 1940 , manage escape Afghanistan eventually make way Germany "
869,1940,Germany,assig nment interdict ship enter Mediterranea n Sea cargo might bound Germany Italy country enter war June 1940 
870,1940,Germany,"Germany partially fulfil territorial ambition onSeptember 7 , 1940 , Treaty Craiova , grant southern Dobruja region Bulgaria "
871,1940,Germany,one two overseas comma nders reject June 1940 armistice Germany 
872,1940,Germany,Germany field five cavalry division 1940 
873,1940,Germany,"Although much period pass socalled Phony War , spring 1940 saw Germany invasion occupation Norway Denmark invasion Low Countries France.Neville Chamberlain serve prime minister Great Britain 19371940 "
874,1940,Germany,"autumn 1940 , Japan formally join Germany Italy Tripartite Alliance Axis power "
875,1940,Germany,"threat not last long , however , Germany strategic position prior June 1940 preclude easy transit resupply ship "
876,1940,Germany,"Germany employ cruiser 1940 invasion Norway , Allies utilizedthem 1942 amphibiou assault North Africa invasion Sicily Italy 1943 "
877,1940,Germany,"Rejecting armistice Germany , Delestraint resign army July 8 , 1940 , settle unoccupied Bour g en Bresse "
878,1940,Germany,"conquest Germany natural extension Operation WESERBUNG , Adolf Hitler plan take Norway April 1940 "
879,1940,Germany,examp le Atlantic theater first four role Germany April 1940 invasion Norway 
880,1940,Germany,"Although initially eager continue fight Italian force , acquiesce , albeit reluctantly , France June 1940 armistice arrangement Germany Italy support Vichy government "
881,1940,Germany,"New Soviet pressure angered Finns , sign secret transit agreement Germany August 1940 allow German troop pas Finland northern Norway "
882,1940,Germany,"France , Battle May 10June 25 , 1940 Germany sudd en strike west May 1940 neutral Holland Belgium caught Allies surprise , lead military defeat collapse French government "
883,1940,Germany,"Signed Compigneat site railway carriage witness signing armistice Germany 1918the 1940 armistice allow Germany occupy northern France Atlantic coastal region Spanish border , France pay German cost administration "
885,1940,Germany,"Germany invasion France May 10June 25 , 1940 , Galland adjutan Jagdgeschwader fighter wing 27 JG27 "
886,1940,Germany,Germany 3 mountain division 1940 13 1944 
887,1940,Germany,"1940 1943 , Germany also sent sea 9 arm auxiliary cruisers.Raeder intent prove worth surface fleetin particular , battleshipsled demand commander take risk yet avoid unnecessary combat could lead loss "
888,1940,Germany,"France Germany sign armistice June 22 , 1940 , British prime minister Winston L"
889,1940,Germany,"1940 , example , Britain produce aircraft Germany 15,049 10,249 "
890,1940,Germany,"April 1940 , Germany attack Norway primarily secure northern flank vital iron ore trade Sweden "
891,1940,Germany,"Halder promote colonel general July 1940.As chief German army general staf f , General Franz Halder played key role planning execution Germany military campaign early year W orld W ar II "
892,1940,Germany,"flag officer , submarine , January 1940 November 1942.Horton direct submarine operation Norwegian Campaign deployed force Atlantic Ocean , Arctic Ocean , North Sea support blockade Germany "
893,1940,Germany,"early June , undersecretary war General Brigade Charles de Gaulle urge Premier Paul Reynaud replace General Maxime Weygand succeed General Maurice Gamelin supreme comma nder Huntziger .Huntziger , however , head French delegation conclude armistice Germany June 22 , 1940 , another June 24 Italy "
894,1940,Germany,"However , Luftwaf fe July 10September 30 , 1940 , Battle Britain Royal Air Force RAF Bomber Command raid Germany suffer great loss men material turn night area attack "
895,1940,Germany,"Iraq major oil producer 2.5 million metric ton 1940 , nation side Axis , location Persian Gulf would also enable Germany threaten British trade , supply , troop movement India "
896,1940,Germany,"September 27 , 1940 , Japan allied Germany Italy Tripartite Pact "
897,1940,Germany,"Germany defeat France June 1940 , Japan demand obtain military base Indochina "
898,1940,Germany,"Japan form al alignment Germany Italy Axis Tripartite Alliance Septem ber 1940 brought increase aid United States , include airplane "
899,1940,Germany,"Three day later , Keyes become British liaison officer King Leopold III Belgiu latter sign armistice Germany May 27 , 1940.In July 1940 , Churchill appoint Keyes director combine operation "
900,1940,Germany,"Landing Craft Type Year First BuiltNumber Built Displacement lightin tonsMaximum Speedin knotsDimensions overall Germany SF 1940 50 143 7.5 106 48 MFP 1626 1942 200 200 10.0 163 22 MFP 6272000 1942 150 280 8.0 163 22 MNL 1942 100 154 10.0 131 27 Britain United States LSD 1943 27 4,032.0 15.6 4579 722 LSV 1944 6 5,875 20.3 4556 603 LST 1942 1,040 1,625 12.0 3280 500 LSM 1944 539 520.0 12.0 2036 346 LCIL 1942 920 246.0 15.0 1586 238 LCSL 1944 130 380.0 15.0 1580 238 LCT 1942 1,465 283.0 8.0 1191 328 LCM 1941 11,350 23.3 8.0 500 141 LCVP 1941 23,358 8.0 8.0 360 106 Source Data A"
901,1940,Germany,"immediate impetus LendLease fall France June 1940 , left Great Britain fight Germany Italy alone "
902,1940,Germany,"1940 , Nazi regime Germany try create settlemen colony Europe Jews "
903,1940,Germany,Germany deploy ed air unit Sicily December 1940 
904,1940,Germany,"France sign armistice Germany June 1940 , Monnet General Brigade Charle de Gaulle instrumen tal persuade British prime minister Winston L"
905,1940,Germany,"Germany defeat France anxious join spoil , declare war France June 10 , 1940 , sent Italian division southeastern France Egypt Libya , little military success "
906,1940,Germany,"Germany victory 1940 1941 Denmark , Norway , Low Countries , France , Yugoslavia , Greece , moreover , Germany could tap agricultural industrial production Europe "
908,1940,Germany,great gain Germany regard come defeat France June 1940 
909,1940,Germany,"World War II operation Northeastern Europe divide three stage RussoFinnish War 19391940 , Germ invasion conquest Denmark Norway spring 1940 , struggle Baltics , Finland , northwestern Russia Soviet Union one side Finland Germany June 1941 fall 1944 "
910,1940,Germany,"Norway , German Conquest 1940 1929 , German admiral Wolfgang Wegener argue Sea Strategy World War event future conflict Great Britain , Germany seize Norway , Shetland Faroe Islands , Iceland "
911,1940,Germany,Conflicts arose start World War II Nuri support British declare war Germany 1940 
912,1940,Germany,German airborne force subsequently secure bridge route across Netherlands Belgian frontier May 1940 occasion Germany invas ion France Low Countries 
913,1940,Germany,"Bulgaria Bulgaria receive southern Dobruja , Germany Italy insist give Romania 1940 "
914,1940,Germany,"Portal become chief Bomber Command April 1940 , initiate first RAF raid Germany "
915,1940,Germany,"Considerable courage well clairvoyance wererequired Frenchman see , 1940 , Germany might indeed lose war , let alone willing risk toward end "
916,1940,Germany,"Germany Italy pressure Romania accede Soviet demand June 28 , 1940 , cede Soviet Union Bessarabia also northern Bukovina , not Soviet territory "
917,1940,Germany,"term Second Vienna Award August 30 , 1940 , dictate Germany Italy stabilize political situation Romania Hungary , Romania cede Hungary northcentral Transylvania Romanian territory north Oradea "
918,1940,Germany,"time invasion May 10 , 1940 , Germany assemble west 2.5 million men 136 division "
919,1940,Germany,"Britain , France , United States also provide assistance , German conquest France sprin g 1940 reduce aid trickle , Great Britain fought Germany alone United State give high priority assist Britain time great peril "
920,1940,Germany,"Even American intelligence assessment , correctly note Germany would complete buildup along French border May 1940 , conclude attack would follow "
921,1940,Germany,"Germany invade conquer Netherlands May 1940 , O21 O24 escape Britain , Royal Navy designer study take little interest breathing device , remove submarine reentered service "
922,1940,Germany,"Germany defeat France June 1940 , Legentilhomme attempt territory declare Free French "
923,1940,Germany,Stalin shock speed Germany defeat France 1940 
924,1940,Germany,rise danger war Germany force Soviet Navy October 1940 scale naval building program 
925,1940,Germany,Germany conquer Norway 1940 
926,1940,Germany,"join proAllied Century Group June 1940 , publicly state United States recognize already effectively war Germany "
927,1940,Germany,"Sweden act intermediary Soviet Finnish government end W inter War March 1940.In April 1940 , Germany invade Denmark Norway , Sweden military place full alert , time government insist absolute neutrality "
928,1940,Germany,"Even July 1940 armistice Germany , French government promise Britain would destroy fleet necessary preve nt fall German hand "
929,1940,Germany,"Tripartite Pact September 27 , 1940 Diplomatic agreement among Germany , Italy , Japan "
930,1940,Germany,Germany conquest Low Countries France May June 1940 affected Pacific well Atlantic 
931,1940,Germany,"February March 1940 , Roosevelt dispatch Welles well publicize peace mission Rome , Berlin , Paris , London , purportedly explo possibility negotiate peace Germany launch anticipate sprin g offensive , prove impossible , detach Italian dictator Benito Mussolin German leader Adolf Hitler "
932,1940,Germany,"WESERBUNG , Operation April 1940 Code name German invasion Norway Denmark , Operation WESERBUNG WESER EXERCISE , Weser river Germany first joint operation German arm force war "
933,1940,Germany,"Germany invade Netherlands May 10 , 1940 , immediately clear country would defeat "
934,1940,Germany,"July 1940 , W inkelman deport Germany prisoner war , remain end war "
935,1940,Germany,"December 13 , 1940 , German chancellor Adol f Hitler issue order conquest Greece Operation MARIT support Italians Albania protect Germany southern flank durin g plan invasion Soviet Union "
936,1940,Germany,1940 Germany add Knight Cross Silver class War Cross Merit 1944 add Knight Cross War Cross Merit Gold 
937,1940,Germany,"Germany stun military success May June 1940 impend defea France impel opportunistic Mussolin reverse stance , declare war France Britain , invade France "
938,1940,Germany,"Armistice Agreement German High Command Armed Forces French Plenipotentiaries , Compigne , June 22 , 1940I n r c n Facing overwhelm military defeat , June 23 , 1940 , French military leader sign armistice Germany "
939,1940,Germany,"Tripartite Pact Germany , Italy , Japan , Signed Berlin , September 27 , 1940I n r c n Septe mber 1940 government Germany , Italy , Japan formally allied establish new order Europe Asia "
940,1940,Germany,"Chinese Government Declaration W ar Germany Italy Since conclusion Tripartite Pact September 1940 , Germany , Italy , Japan unmistakably band block aggressor state work closely together carry common program world conquest domination "
942,1940,Germany,"Beginning spring 1940 , British gradually broke Germany Enigma Italy Fish , Americans receive stead stream intelligence Japanese Magic intercept "
943,1940,Germany,", 184 Columbo , 184 conscription , 183declaration war Germany , 183 defense Port Moresby , 185 division , 183 El Alamein , 184 growth , 183 Java , 184 MacArthur , Douglas , 184185 Middle East , 183184 Milne Bay , 185 North Africa , 184 number casualty suf fered war , 185 number men woman serve war , 185 number prisoner war recover war , 185 Papua New Guinea , 185 Second Australian Imperial Force , 184 Singapore , 184 Southwest Pacific Command , 184 Australia , Navy , 185186 buildup , 185 combat action , 185186 duty Pacific , 186 formal name , 185 Italy , 185 Japanese air raid Darwin , 186 Mediterranean , 185 number men woman serve war , 186 prewar strength , 185 requisition , 185 ship conversion , 185 sinking Perth , 186 sinking Sydney , 186 Austria , 186188 W orld W ar , 186 air attack , 188 Allied military occupation , 188 annexation , 186 Anschluss union Germany , 186 , 187 , 188 antiSemitism , 188 Austrian Army , 187 , 188 Christian Socialists , 186 division , 188 Dollfuss , Engelbert , 186 , 187 geographic location , 186 Hitler , Adolf , , 186 , 187 Mussolini , Benito , 187 Nazi banner swastika hung plaza front Schloss Esterhazy , 187 image Nazi propaganda , 186 new constitution , 186new constitution , 186 nullification Anschluss union , 188 Ostmark , 188 plebiscite issue Anschluss union Germany , 187 plot government , 187 Red Army , 188 Renner , Karl , 188 resistance group , 188 Schusschnigg , Kurt , 187 SeyssInquart , Arthur , 187 Social Democrats , 186 Treaty SaintGermain , 186 Automedon , sinking November 1 1 , 1940 , 188189 attack German commerce raider Atlantis , 188 British W ar Cabinet minute , 188189 Ole Jacob ship , 189 Rogge , Bernhard , 189 surrender Automedon , 188 auxiliary vessel , 189191 aviation ship , 189190 catapultassisted merchant ship , 190 coastal patrol craft , auxiliary minesweeper , submarine chaser , 189 conversion fishing vessel , 189 fleet train , 190191 German Navy submarine tender , 190 image merchant aircraft carrier MACs , 190 mine destruction vessel Sperrbr echer , 189 overview , 189 requisition , 189 AVALANCHE , Operation , 877 See also Salerno Invasion September 9 , 1943 Avon , First Earl "
945,1940,Germany,"battle Stalingrad , 561 Berlin fensive , 561 defense Moscow , 559 Dnieper , Battle , 562 map force ratio , 559 German invasion plan , 557 German invasion plan , problem , 559 German supply system , 559 Hitler , Adolf , , 559 invasion Soviet Union , 557 map Battle Dnieper , 1940 , 562 map Eastern Front , 19441945 , 560 map Eastern Front , July 16 , 1941December 5 , 1941 , 558 Operation BARBAROSSA , 557 Operation CITADEL , 561 Operation TAIFUN typhoon , 559 Operation URANUS , 561 siege Leningrad , 561 Soviet fen , 559 , 561 surrender Germany , 561 Eastern Solomons , Battle August 2225 , 1942 , 562564 definition , 562 description , 563564 Fletcher , Frank , 563 outcome , 564 photograph , 563 reason , 562 Tanaka Raizo , 563 Yamamoto Isoroku , 562 , 563 , 564 amato mystery , 564East Indies Fleet "
946,1940,United States,United States Curtiss P40 enter service 1940 
947,1940,United States,"Viewed term , four main center armament production World War II Western democracy 1940 , United States British Commonwealth , European Axis Germany Italy , Soviet Union , Japan "
948,1940,United States,"United States , Armored Force create July 1940 place armored unit one command "
949,1940,United States,"September 16 , 1940 , United States institute first peacetime conscription "
950,1940,United States,"Roosevelt respond negotiate Destroyers forBases Agreement August 1940 , whereby United States transfer 50 World War Ivintage destroyer Britain exchange naval base right British Caribbean Islands North America.British prime minister W inston Churchill give victory sign "
951,1940,United States,"1940 , Driscoll recognition Japanese code JN25 generate machine M1 give United States head start building decryption machine M3 "
952,1940,United States,"German occupation France 1940 , director actor not emigrate many go United States able find work Vichygoverned free zone Germancontrolled industry Paris "
953,1940,United States,"1940 1945 , United States produce 297,199 aircraft "
954,1940,United States,"Jiang repeatedly sought assistance Western power especially United States Britain , 1940 receive modest American financial military aid imposition limited economic sanction Japan "
955,1940,United States,"Japan form al alignment Germany Italy Axis Tripartite Alliance Septem ber 1940 brought increase aid United States , include airplane "
956,1940,United States,"Landing Craft Type Year First BuiltNumber Built Displacement lightin tonsMaximum Speedin knotsDimensions overall Germany SF 1940 50 143 7.5 106 48 MFP 1626 1942 200 200 10.0 163 22 MFP 6272000 1942 150 280 8.0 163 22 MNL 1942 100 154 10.0 131 27 Britain United States LSD 1943 27 4,032.0 15.6 4579 722 LSV 1944 6 5,875 20.3 4556 603 LST 1942 1,040 1,625 12.0 3280 500 LSM 1944 539 520.0 12.0 2036 346 LCIL 1942 920 246.0 15.0 1586 238 LCSL 1944 130 380.0 15.0 1580 238 LCT 1942 1,465 283.0 8.0 1191 328 LCM 1941 11,350 23.3 8.0 500 141 LCVP 1941 23,358 8.0 8.0 360 106 Source Data A"
957,1940,United States,"Strategic metal particular interest United States Novembe r 1940 , YOU.S "
958,1940,United States,"Among member American Abraham Lincoln Brigade , writer Ernest Hemingway , Herbert Matthew , Martha Gellhorn , Lillian Hellman strengthen antifascist opinion United States context , Hemingway Bell Tolls 1940 become classic "
959,1940,United States,"United States , TwoOcean Navy Act 1940 , expansion army burgeon need weapon , armament order France Great Britain promote growth military industry "
960,1940,United States,"United States embar goed scrap metal oil follow Japan move French Indochina 1940 1941 , Japan found awkward situatio n back withdraw occupy territory go war solidify hold need resource "
961,1940,United States,"Although Britain able secure part French fleet Operation CATAPUL July 1940 also garner 50 destroyer throu gh Destroyersfor Bases Agreement benevolently neutral United States , British force stretch thin , also dispute control Mediterranean owe June 1940 Italian entry war Axis side "
962,1940,United States,"February 1940 , appoint Japanese ambassador United States , large part acquaintedwith YOU.S "
963,1940,United States,"naval minister , Oikawa involve make two fateful decision conclusion Tripartite Pact Germany Italy September 27 , 1940 declaration war United States United Kingdom "
964,1940,United States,"Septe mber 1940 , Britain provide United States example key radar compo nents , includin g magnetron , unders tanding cooperation would lead development radar technology "
965,1940,United States,"Britain , France , United States also provide assistance , German conquest France sprin g 1940 reduce aid trickle , Great Britain fought Germany alone United State give high priority assist Britain time great peril "
966,1940,United States,"join proAllied Century Group June 1940 , publicly state United States recognize already effectively war Germany "
967,1940,United States,"1940 , Roosevelt stun leader aviation industr ask produce seem impossible goal 50,000 airplane end war , United States produce nearly 300,000 "
968,1940,United States,"June 20 , 1940 , believe United States mightsoon stand alone face Axis aggression , Congress pass second naval expansion bill , call twoocean navy 70 percent increase overall naval tonnage "
969,1940,United States,W illkie speak press campaign presidency United States 1940 
970,1940,United States,"remain foreign secretary December 1940 , Churchill persuade become British ambassador United States "
971,1940,United States,"January 1940 Yonai assemble new cabinet base support Emperor Hirohito , Yonai oppose Japan plan go war United States "
972,1940,United States,September 1940 3 destroyer forbases deal United States Britain announce YOU.S 
973,1940,United States,"summer 1940 fall France , Assistant Secretary State Breckinridge Long explain two colleague method wher eby could make almost impossible Jews obtain visa enter United States "
974,1940,United States,"DestroyersforBases Agreement Secretary State Cordell Hull British Ambassador Lord Lothian , September 2 , 1940I n r c n negotiation last summer , September 1940 Great Britain United States reach agreement whereby Great Britain accord United States base right Newfoundland , Bermuda , Caribbean , British Guiana "
976,1940,United States,"Primary Source receive note September 2 , 1940 , text follow honour instruction Majesty Principal Secretary State Foreign Affairs inform view friendly sympathetic interest Majesty Governm ent United Kingdom national security United State desire strengthen ability United States cooperate effectively nation Americas defence Western Hemisphere , Majesty Government secure grant Government United State , freely without consideration , lease immediate establishm ent use naval air base facility entrance thereto operation protection thereof , Avalon Peninsula southern coast Newfoundl , east coast Great Bay Bermuda "
977,1940,United States,", September 27 , 1940 , agreement sign Berlin , three powerful nation , two Europe one Asia , join together threat United States America interf ered block expansion program three nationsa program aim world control would unite ultimate action United States "
978,1940,United States,"Germ occupy Denmark spring 1940 , United States reach ed agreement governmentin exile "
979,1940,United States,private group America First establish 1940 organize force believe best way United States could meet ever serious international crisis building American defen s hold aloof Europe 
980,1940,Belgium,"DFS230 glider employ invasion Belgium Netherlands May 1940 , especially secure Fort Eben Emael May 10 , key overrun Belgium "
981,1940,Belgium,"Germans welldevelo ped operational concept start war , demonstrate remarka ble effectiveness early seizure air key facility 1940 Norwegian Campaign secure fortress Eben Emael May 10 , 1940 Belgium invasion France Low Countries "
982,1940,Belgium,"Reeder priority include advance position Germanic Flemish population expense francophone Walloons accordance July 1940 order German leader Adolf Hitler , ensure Belgian industry harness war machine Reich administer Belgium little German manpower possible "
983,1940,Belgium,"May 10 , 1940 , Belgian parliament pass law allow civil servant administer country absence political leader , senior memb er department , secrtaries gnraux , thus become administrator Belgium "
984,1940,Belgium,Belgium fortunate rapid German advance 1940 retreat 1944 left city countryside relatively unscathed 
985,1940,Belgium,"Belgian air base lack space disperse aircraft , 53 plane destroyed ground Luftwaf fe begin German invasio n Belgium morning May 10 , 1940 "
986,1940,Belgium,"Although British French force come aid Belgium invade German force May 10 , 1940 , Germans breach theinitial Belgian defensive line along Albert Canal day "
987,1940,Belgium,German soldier raise Nazi flag Royal Castle Lacken follow German invasion Belgium May 1940 
988,1940,Belgium,"Battle France May 10June 25 , 1940 , lead panzer corp across Meuse River Sedan race English Channel cut Allied force f Belgium "
989,1940,Belgium,"May 10 29 , 1940 , Battle France , troop perform well Belgium northern France , cover Allie retreat Dunkerque help make possible evacuation May 26June 4 "
990,1940,Belgium,Paulus participate conquest Poland 1940 offensive Belgium France 
991,1940,Belgium,"Januar 10 , 1940 , even occurr ed may change history pilot German military aircraft fly Mnster Kln become lose dense fog force land near Mechelensur Meuse , Belgium "
992,1940,Belgium,"January 10 , 1940 , German military aircraft force land Belgium "
993,1940,Belgium,"See Aitken , W illiam Maxwell 18791964 Beck , Ludwig 18801944 , 234236 assassination attempt Hitler , 235 chief ruppenamt roop fice , 234 coup Hitler , 235 date place birth , 234235 death , 235 military education , 234 Operation VALKYRIE , 235 photograph , 235 promotion command , 234 significance , 234 Belgium , 236238 Allied liberation , 237 Antwerp , 237 Ardennes fensive Battle Bulge , 237 Comite Galopin , 237 Flemish province , 236 French alliance renouncement , 236 geographic location , 236German invasion May 10 , 1940 , 236 German occupation , 237 King Leopold , 236 , 237 King Leopold III , 237238 liberation port Antwerp , 237 linguistic line , 236 neutrality , 236 occupation government , 237 Pierlot , Hubert , 236 population 1939 , 236 resistance Germans , 237 secretariesgeneraux , 237 Walloon area south Flanders , 236 Belgium , Air Force , 238 Albert Canal air strike , 238 battle , 238 date form , 238 incorporation plane , 238 Luftwaf fe destruction , 238 size , 238 Belgium , Army , 238239 Belgian campaign , 238 British French troop , 238239 casualty , 238 Churchill , W inston L"
995,1940,Italy,"Italy join war June 10 , 1940 , barely half 3,296 aircraft combat quality "
996,1940,Italy,"assistance Germany particularly supply aircraft engine allow Italian aircraft industry make modest increase 2,142 aircraft produce 1940 3,503 aircraft 1941 , Italy weak industrialsector could not withstand impact Allied bombing campaign , production drop 2,818 aircraft 1942 967 aircraft time Italy switch side September 1943 "
998,1940,Italy,"Requisitioned military service Italy enter war June 1940 , SM.75 could carry 30 troop "
999,1940,Italy,"Viewed term , four main center armament production World War II Western democracy 1940 , United States British Commonwealth , European Axis Germany Italy , Soviet Union , Japan "
1000,1940,Italy,"Italy declare war June 1940 , Balbo accepted command Italian force North Africa "
1001,1940,Italy,"battleship fleet action World War II take place July 9 , 1940 , Calabria , southern Italy , October 25 , 1944 , Surigao Strait , near Leyte , Philippines "
1002,1940,Italy,"spring 1940 , Bergamini reassign fix problem associate 15inch gun Italy new battleship Littorio Vittorio V eneto "
1003,1940,Italy,"remain loyal Vichy government , head commission negotiate armistice term Italy summer 1940 "
1004,1940,Italy,"June 1940 Italy formally enter World War II , Blacksh irt unit dispatch East Africa , North Africa , Greece "
1005,1940,Italy,Four Blackshirt division Italy join Marshall Rodolfo Graziani Tenth Army invasion Egypt September 1940 
1006,1940,Italy,"Italy join war June 1940 , Red Sea Flotilla destroyer submarine operating Italian East Africa pose great threat British shipping especially supply oil Persian Gulf "
1007,1940,Italy,assig nment interdict ship enter Mediterranea n Sea cargo might bound Germany Italy country enter war June 1940 
1008,1940,Italy,"Calabria , Battle July 9 , 1940Mediterranean air naval battle fought British Italians Calabrian coast Italy July 9 , 1940 "
1009,1940,Italy,"autumn 1940 , Japan formally join Germany Italy Tripartite Alliance Axis power "
1010,1940,Italy,"1940 , air commodore , comman Number 202 Group , RAF unit Western Desert Egypt , war Italy begin June 10 "
1011,1940,Italy,"September 13 , 1940 , three month Italy enter World War II , Italian dictator Benito Mussolini order ed commander Italian force Libya Marshal Rodolfo Graziani invade Egypt General Mario Berti Tenth Army "
1012,1940,Italy,"Albert HarlingueRoger V iolletGetty Images June 1940 Italy entry war , duty expand Mediterranean "
1013,1940,Italy,"Italy enter war June 1940 , Da Zara command Di Giussano group IV Division , participate Battle Calabria July 9 , 1940 "
1014,1940,Italy,"Britain shipping lane even vulnerable German submarine fall France June 1940 , Italy entry war make Mediterranean area difficult passage "
1015,1940,Italy,"Italy enter war June 10 , 1940 , governor general Italian East Africa , Amedeo Umberto di Savoia , Duca dAosta , command 350,000 troop colony , vastly outnumber 40,000 British levy available "
1016,1940,Italy,"threat Italy entry war , Esteva move headquarters Bizerte French North Africa May 1940 "
1017,1940,Italy,"Although initially eager continue fight Italian force , acquiesce , albeit reluctantly , France June 1940 armistice arrangement Germany Italy support Vichy government "
1018,1940,Italy,"Force H British naval task force establish Gibraltar late June 1940 , create effort offset loss French naval power Mediterranean occasion German defeat France entry Italy war "
1019,1940,Italy,"turn , accomplish task magnificently Italy clumsy offensive June 1940 , redeem chapter France agony year "
1020,1940,Italy,"Italy entry war June 10 , 1940 , found RAF Middle East Mediterranean disperse 4 million square mile mainly desolate hostile terrain "
1021,1940,Italy,"Additionally , hunter killer escort group attach vulnerable convoy maul Germans.In Mediterranean , Italy entry war May 1940 require reinforcement theater naval force Admiral Sir Andrew Cunningham "
1022,1940,Italy,"Greece drawn World War II Italy invasion Albania October 28 , 1940 "
1023,1940,Italy,"start war Italy October 1940 , Greece deployed 216 first secondline aircraft type , include liaison "
1024,1940,Italy,"mid1940 , Italy begin period harassment include air attack Greek ship sea sinking Italian submarine Delfino anchor cruiserminelay er Helle August 15 , 1940 "
1025,1940,Italy,"Italy declare war Greece October 28 , 1940 , RHN active support army conduct destroyer sweep Ionian Sea.The RHN experienced serious loss air attack follow ing April 1941 German invasion "
1026,1940,Italy,"Greece already war , invade Italy October 1940 "
1027,1940,Italy,"dawn October 28 , 1940 , Italian ambassador Athens present ultimatum Greek prime minister dictator General Ioannis Metaxas accuse Gree ce allow British ship use Italy territorial water demand free passage Italian troop Greek soil "
1028,1940,Italy,"Following Italy entry World War II June 1940 extension fight Africa , British force liberate Ethiopi , Selassie return capital triumph 1941 "
1029,1940,Italy,Transports use move wound ed soldier France England May 1940 employ North Africa Italy Dday landing 
1030,1940,Italy,"early June , undersecretary war General Brigade Charles de Gaulle urge Premier Paul Reynaud replace General Maxime Weygand succeed General Maurice Gamelin supreme comma nder Huntziger .Huntziger , however , head French delegation conclude armistice Germany June 22 , 1940 , another June 24 Italy "
1031,1940,Italy,"June 1940 , Italy enter World War II , Iachino comman ded 2nd Cruiser Squadron "
1032,1940,Italy,"Italy enter war June 1940 , air force almost 1,000 frontline aircraft , back 2,000 second thirdline aircraft "
1033,1940,Italy,"Italy fought Battle France May 10June 25 , 1940 several week , receive French aircraft "
1034,1940,Italy,"Italy , Army Italy enter World War II June 10 , 1940 , Regio Esercito Royal Army 1,630,000 men arm "
