date,sentence,lvl1
1940,ship safe Germans discover copy BritishWar Cabinet minute August 1940 ,irrelevant
1940,"December 12 , 1940 , Wenneker hand document Vice Admiral Kond Nobutake , Japanese Navy vice chief staff ",relevant
1941,doubt document encourage Japanese leadership Japanese decision advance Southeast Asia 1941 ,relevant
6610,"KOTANI KENSee also Commerce Raiders , Surface , German Kond Nobutake Oikawa Koshiro Pearl Harbor , Attack amamoto Isoroku Refer ences CAB 6610 ",relevant
1987,"Exeter , UK Exeter University Press , 1987 ",relevant
1997,"London Hodder Stoughton , 1997 ",irrelevant
3755,Encounter 3755 May 1985 814 ,irrelevant
1941,Royal Navy particular improvise shortage escort aircraft carrie r Royal Navy introduce 1941 ,relevant
1945,"Lackin g , Royal Navy 1945 rely YOU.S ",relevant
1980,"London Conway Maritime , 1980 ",irrelevant
1992,"London Conway Maritime , 1992 ",irrelevant
1944,"AVALANCHE , Operation See Salerno Invasion Avon , First Earl See Eden , Sir Robert Anthony Avranches , Battle August 712 , 1944 Land battle France ",relevant
1944,"July 31 , 1944 , follow breakout American First Army American First Army Normandy bridgehead , Major General John S",relevant
1994,"New ork W illiam Morrow , 1994 ",relevant
1961,"Washington , DC Office Chief Military History , Department Army , 1961 ",relevant
1979,"Bato n Rouge Loui siana State University Press , 1979 ",irrelevant
2002,"Lawr ence University Press Kansas , 2002 ",irrelevant
1900,"Born November 29 , 1900 , Portla nd , Maine , Mildred Elizabeth Sisk later adopt Mildred Elizabeth Sisk stepfather name , Gillars ",relevant
1922,study drama Ohio Wesleyan University left 1922 without graduate ,irrelevant
1934,"move series job , end Germany September 1934 ",relevant
1940,"Gillars appa rently first heard German radio station May 6 , 1940 , announcer service direct toward Britain ",relevant
1944,"particularly chill broadcast June 6 , 1944 , Normandy landing , Vision Invasion , claimed thousand would perish ",relevant
1944,"Koischwitz die 1944 , Gillars spent remainder war Berlin ",relevant
1946,"Arrested Allied authority 1946 , release give illadvis ed press conference explain role ",relevant
1949,"March 10 , 1949 , found guilty one eight treason count sentence 10 30 year prison ",irrelevant
1961,"release parole July 10 , 1961 , feder al reformatory serve 12 year ",relevant
1988,"Gillars die June 25 , 1988 , Columbus ",relevant
1997,"New , CT Yale University Press , 1997 ",relevant
1991,"New York Praeger , 1991.B Bab el Mandeb Strait Narrow channel link Red Sea Gulf Aden ",relevant
2008,"Vercelli , Italy White Star , 2008 ",relevant
1969,"Cora l Gables , FL University Miami Press , 1969 ",relevant
2930,"Babi Yar Massacre September 2930 , 1941 German mass shoot Sovie Jews outside Kiev , Ukraine ",relevant
1941,"Following German Army invasion Soviet Union June 22 , 1941 , four Schutzstaf fel Einsatzgruppen SS deployment group enter Soviet territory , Wehrmacht drove Soviet Union task physical annihilation Communist Party functionary , Red Army commissar , physically mentally handicapped , partisan , Jews ",relevant
1943,"Conseque ntly , time Wehrmacht drove Soviet Union disband 1943 , war Eastern Front swung irreversibly favor Red Army , Einsatzgruppenwith assistance German Army host enthusiastic collaborator Latvian , Lithuanian , Ukrainian populationshad commit multitude unspeakable atroci tie murder estimate 1.5 million Soviet Jews others ",relevant
1941,"Septem ber 19 , 1941 , unit German Army Group South occupy Kiev , capital Soviet Ukraine ",relevant
2930,"German SS troop prepare execute Kiev Jews Babi ar Massacre Ukraine , September 2930 , 1941 ",relevant
1943,"July 1943 , Soviet force seize military initiative advance rapidly , Germans launch Operation SONDERAKTION SPECIAL ACTION 1005 AKTION 1005 eradicate evidence Germans crime Soviet Union ",irrelevant
1942,"Blobel , release duty commander Sonderkommando 4a early 1942 transfer Berlin , return Kiev ",relevant
1943,"Despite Germans effort hide Germans crime , significant evidence massacre remain discover Soviet force follow liberation Kiev November 1943 ",relevant
1941,Babi Yar Massacre late September 1941 not large German specia l action Jews ,relevant
1941,"October 1941 , Germans Romanian ally murder estimate 50,000 Jews Odessa ",relevant
1997,"New York HarperCollins , 1997 ",relevant
1981,"Stuttgart Deutsche Verlags Anstalt , 1981 ",relevant
1970,"New York Farrar , Straus Giroux , 1970 ",relevant
2002,"New ork V intage , 2002 ",relevant
1944,Baby Blitz JanuaryMay 1944 German bombing raid London 1944 ,relevant
1943,"1943 drew close , Allies achieve great military success Germany ",relevant
1943,"January 1943 , Minister Propaganda Joseph Goebbels call Germans patient , massive strike drive Britain war imminent ",relevant
1943,"Chancellor Adolf Hitler direction begin December 1943 , Luftwaf fe station available bomber field northern France preparation fensive ",relevant
1944,"January 21 , 1944 , operation commenced Peltz sent two wave total 447 bomber London ",relevant
1941,"end April , Germans break attack prohibitive loss , attack , dubbed British Baby Blitz , involve aircraft strike Britain since 1941 launch doze n attack London , Hull , Bristol , Portsmouth drop 2,000 ton bomb cost 329 bomber lose ",relevant
1941,"Although attack , dubbed British Baby Blitz , involve aircraft strike Britain since 1941 , attack , dubbed British Baby Blitz , involve aircraft strike Britain since 1941 cause relatively minor damage casualty ",relevant
1943,"end December 1943 May 1944 , German bomber strength northern France fell 695 133 aircraft ",relevant
2006,"Oxford , UK Clarendon , 2006 ",relevant
1968,"New ork Doubleday , 1968 ",relevant
1981,Journal Contemporary History 163 1981 565583 ,irrelevant
1985,"Baltimore Nautical Aviation Publishing Company America , 1985 ",relevant
1899,"Born Junker family Lauenbur g , Pomerania , March 1 , 1899 , Erich von dem BachZelewski volunteer 1914 serve German Army W orld W ar ",relevant
1924,"armistice , serve Freikorps unit Reichswehr ficer 1924 ",irrelevant
1930,"1930 , BachZelewski join National Socialist Party National Socialist Party elite SS paramilitary unit ",irrelevant
1934,"1934 , command SS unit East Prussia Pomerania ",irrelevant
1939,"1939 , promote SS general , two year later , assign Army Group Center Eastern Front ",relevant
1941,"July 1941 , Bach Zelewski take control 11,000 SS troop , four time number assign specialexecution squad Einsatzgruppen ",relevant
1941,"end 1941 , BachZelewski comm anded 50,000 men , whose job kill race enemy , Jews , Gypsies , mentally physically disabled , homosexual ",relevant
1943,June 1943 SS commander Heinrich Himmler appoint Bach Zelewski antipartisan chief entire Eastern Front ,relevant
1944,"late summer 1944 , BachZelewski command German unit responsible crush Warsaw Rising ",relevant
1951,"March 1951 , condemn Munich court 10 year special labor , practice meant confine home Franco nia ",relevant
1961,"Instead , Bach Zelewski try 1961 Bach Zelewski participation 1934 Blood Purge sentence four half year prison ",relevant
1962,"Indicted 1962 murder six communist 1933 , Bach Zelewski try Nurember g receive unusually harsh sentence life imprisonment ",relevant
1973,"BachZelewski die prison hospital Munich March 8 , 1973 ",irrelevant
1999,"Hambur g , Germany Hambur ger Edition , 1999 ",relevant
1957,"New ork V iking , 1957 ",relevant
1910,"Bader , Sir Douglas Robert Steuart 1910 1982 Royal Air Force RAF officer ace World War II ",relevant
1910,"Born London February 10 , 1910 , Douglas Robert Steuart Douglas Robert Steuart Bader commission RAF graduation RAF Flying School 1930 ",relevant
1931,"lose leg aircraft accident perform lowlevel acrobatics December 1931 , Douglas Robert Steuart Bader medically retire disability pension Douglas Robert Steuart Bader recuperation 1933 ",relevant
1939,"begin World War II September 1939 , Bader argue Bader way back active duty , fly Hawker Hurricanes ",relevant
1940,"early 1940 , Bader become flight commander Spitfire squadron ",relevant
1940,"July 10September 30 , 1940 , Battle Britain , Flight Lieutenant Bade r become famous fact Bader double amputee Bader quickly become ace ",relevant
1941,"1941 , Bader promote wing commander take command Number 1 1 Wing three Spitfire squadron Sussex ",relevant
1946,Bader lead Battle Britain flyby postwar victory parade retire RAF group captain February 1946 ,relevant
1982,"Bader die London September 5 , 1982 ",relevant
1973,"Garden City , NY Doubleday , 1973 ",relevant
1954,"New ork Norton , 1954 ",relevant
1985,"New York Macmillan , 1985 ",relevant
1871,"Born Grazzano Monferrato later rename Grazzano Pietro Badoglio , Italy , September 28 , 1871 , Pietro Pietro Badoglio enter Italian military 1890 artillery officer ",relevant
1917,"captain begin World War , Pietro Badoglio rise lieutenant general August 1917 command XXVII Corps OctoberNovember 1917 Battle Caporetto ",relevant
1919,"November 1919 February 1921 , Badoglio army chief staff ",relevant
1925,"May 1925 , however , return Italy chief General Staff promote field marshal June 1926 ",relevant
1928,"1928 1933 , Badoglio serve governor Italian North Africa , period Badoglio oversaw suppression Senussi Rebellion ",relevant
1935,"November 1935 , Badoglio assume command Italian force Ethiopia , complete conqu est country ",relevant
1936,"Rewarded title Duke Addis Ababa , Badoglio name viceroy May 1936 ",relevant
1939,"InNovember 1939 , Badoglio chief staff Italian arm force , post held force resign Decemb er 4 , 1940 , follow failure Italian force Greece ",relevant
1944,Italian marshal Pietro Badoglio head Italian government liberation Rome June 1944 ,relevant
1943,"Ullstein Bild via Getty Images Italian dictator Benito Mussolini arrest July 1943 , King Victor Emmanuel III select Badog lio head Italian government command arm force ",relevant
1943,"Badoglio also help engineer Italy change Axis Allied side cobelligerent , move carry secretly September 3 , 1943.When German Army take much Italy , Badoglio , king , member government escape Rome night September 89 make king , member government way Brindisi ",relevant
1943,"September 29 , 1943 , Badoglio formally surrender Italy , October 13 , 1943 , Italy declare war Germany ",relevant
1944,"Following liberation Rome , Badoglio step June 5 , 1944 ",relevant
1956,"Badoglio die Badoglio family home Grazzano Badoglio November 1 , 1956 ",relevant
1948,"Westport , CT Greenwood , 1948 ",irrelevant
1961,"Princeton , NJ Princeton University Press , 1961 ",irrelevant
1976,"New ork V iking , 1976 ",relevant
1897,"Bagramyan , Ivan Khristoforovich 1897 1982 Soviet Army general ",relevant
1897,"Born Armenian parent Elizavetpol Ganca , Azerbaijan , Decem ber 2 , 1897 , Ivan Bagramyan also widely spell Bagrami enter Imperial Russian Army 1915 junior lieutenan 1917 ",relevant
1920,join Red Army 1920 Communist Party 1939 ,irrelevant
1940,"attain rank colonel 1940 , time post Kiev Special Military District deputy chief staff Kiev Special Military District commander , General Geor gii Zhukov ",relevant
1941,"beginnin g Germa n invasion Soviet Union June 1941 , Bagramyan operation officer Marshal Semen Budenny Southwestern Front ",relevant
1941,"August 1941 , become chief staff Marshal Semen imoshenko , commander Southwestern Southernfronts ",relevant
1942,"Bagramyan orchestrate two Soviet counterof fensives April 1942 promote lieutena nt general make chief staff operational group consist Southern , Southwestern , Bryansk front ",relevant
1942,"late March 1942 , Timoshenko sent Bagramyan Soviet dictator Joseph Soviet dictator Joseph Stalin discus plan recapture Kharkov ",relevant
1943,"February , follow Battle Stalingra August 23 , 1942February 2 , 1943 , Sixteenth Army increase six division , two brigade , tank corp , four tank brigade , severa l artillery regiment ",relevant
1943,"played major role Battle Kursk July 513 , 1943 ",relevant
1943,"November 1943 , Stalin promote Bagramyan army general command 1st Baltic Front ",relevant
1944,"July 31 , 1944 , Bagramyan force reach Baltic near Riga ",irrelevant
1945,"January 1945 , Bagramyan force take Memel , cut 20 German division ",relevant
1945,"April 1945 , Bagramyan appoint commander 3rd Belorussian Front , post Bagramyan held Bagramyan disbandment August ",relevant
1946,command Baltic Military District 1946 1954 ,relevant
1955,"1955 promote marshal Soviet Union appoint inspecto r general Ministry Defense , 1956 1958 head General Staf fAcademy ",relevant
1982,"Bagramyan die Moscow September 21 , 1982 ",irrelevant
1977,"Moscow V oenizdat , 1977 ",irrelevant
1962,"London Macmillan , 1962 ",relevant
2532,"Stalin Generals , edit Harold Shukman , 2532 ",relevant
1993,"New ork Grove , 1993 ",relevant
2003,"Cambridge , UK Da Capo , 2003 ",relevant
1944,"BAGRA TION , Operation June 22August 29 , 1944 Massive Soviet offensive Belorussia 1944 , commence exactly three year German invasion Soviet Union ",relevant
1943,"offensive part time meet Soviet leader Joseph Stalin pledge November 28December 1 , 1943 , Tehran Conference operation prevent transfer German force west meet Allied invasion Normandy ",relevant
1944,"begin 1944 , Red Army clearly held initiative Eastern Front ",relevant
1944,"German intellig ence keyed identify main thrust location Soviet tank army , six 1944 ",relevant
1944,"June 23 August 29 , 1944 , along 600mile front , Soviets defeat Army Group Center advanced 300 360 mile ",irrelevant
1944,"Analysis Deep Attack Operations Operation Bagration , Belorussia , 22 June29 August 1944 ",irrelevant
1987,"Army Command General Staff College , Fort Leavenworth , KS , March 1987 ",irrelevant
1944,"Belorussia , 1944 Soviet General Staff Study ",irrelevant
2001,"London Cass , 2001 ",relevant
1941,"Normandy Operation Bagration War East , 1941 1945 ",relevant
2010,"Hanover , PA Ostfront Publications , 2010 ",irrelevant
1964,"Dutton , 1964 ",irrelevant
1944,Bagration 1944 Destruction Army Gr oup Centr e,relevant
1996,"London Osprey , 1996 ",relevant
1983,"Born Guilin Kweilin , Guangxi Kwangsi Province , March 18 , 1983 , Bai Chongxi Pai Chunghis graduate Baoding Paoting Military Academy 1916 , serve Bai native provincial force s",relevant
1924,"December 1924 , cooperation anoth er Guangxi officer , Li Zongren Li sungjen , Bai gain control Guangxi ",relevant
1925,"Bai join Guomindang GMD , Nationalists 1925 , participate Northern Expedition Jiang Jieshi Chiang Kaishek 1926 1928 maintain Bai power base Guangxi ",relevant
1929,"1929 , Bai Li , know Guangxi Clique , rebel Jiang Jiang concentration power ",relevant
1931,"result struggle end stalemate , national unity seem important September 1931 Mukden Shenyang Incident Liaonin g",relevant
1931,"late 1931 , Bai Li rejoin GMD , work create reformist provincial government resolvingtheir difference Jiang ",relevant
1937,"Given heavy loss sustain GMD force October November 1937 , Bai oppose stand Nanjing argue keep Chinese force intact ",relevant
1938,"Chongqing , Bai continued participate strategic planning lead first Chine se victory Taierzhuang Taierhchuang Campaign March April 1938 Jiangsu ",relevant
1939,"Failing goal , Bai recall January 1939 ",relevant
1940,"Despite Bai grow opposition Chinese Communists , Bai strongly support protract war theory developed Mao Zedong Mao setung 1940 fight Japanese ",relevant
1948,"19461949 Chinese Civil War , Bai , first defense minister director Strategic Advisory Commission , grow frustrate Jiang refusa l yield authority Jiang military policy related civil war , Bai resign 1948 ",relevant
1949,"end 1949 , Bai flee Taiwan Formosa , Bai become vice chairman Strategy Adviso ry Committee member Central Executive Committee GMD Jiang death Taipei December 2 , 1966 ",relevant
1965,"Cambridge , Harvard University Press , 1965 ",irrelevant
1989,"Hong Kong South China Press , 1989 ",relevant
1989,"London Chatto Windus , 1989 ",irrelevant
1896,"Born Qartesana , Italy , June 6 , 1896 , Italo Balbo join army 1915 Italy enter World War fought lieutenant Alpini ",relevant
1921,Italo Balbo join Fascist Party 1921 leader 1922 fascist March Rome ,relevant
1929,"Mussolini become premier , Balbo held various cabinet post become minister aviation 1929 , work make Italy major airpower ",relevant
1933,"Promoted Italy first air marshal 1933 , Balbo come see political threat Mussolini , , January 1934 , appoint governor commander chief Italian force Libya ",relevant
1939,"fascist Grand Council meeting December 7 , 1939 , Balbo raise possibi lity Italyfighting side France Britain ",relevant
1940,"Italy declare war June 1940 , Balbo accepted command Italian force North Africa ",relevant
1929,"Italian aviator politician Count Italo Balbo , show September 13 , 1929 ",relevant
1929,"Minister aviation 1929 make Italy first air marshal 1933 , Balbo oppose alliance Germany Benito Mussolini decision go war Allies ",relevant
1976,"New ork V iking , 1976 ",relevant
1987,"Berkeley University California Press , 1987 ",irrelevant
1893,"Born DanzigLangfuhr , Prussia , December 7 , 1893 , Hermann Balck son William Balck , World War division commander one Germany note writer tactic ",relevant
1914,young Balck enter Hanove r Military College February 1914 ,relevant
1939,"Nonethe less , 1939 invasion Poland , serve Lieutenant General Heinz Guderian Inspectorate Mob ile Troops , responsible manage reconstitution German panzer division ",relevant
1939,"late 1939 , Balck assume command lieutenant colonel 1st Rifle Regiment 1st Panzer Division Guderian XIX Panzer Corps ",relevant
1940,"May 13 , 1940 , Balck regiment cross Meuse River , spearhead Guderian breakthrough Sedan ",relevant
1941,"Promoted colonel , Balck serve April 1941 Greek Campaign commander 3rd Panze r Regiment ",relevant
1941,"November 1941 , Balck become inspector Mobile Troops , position Guderian held 1938 ",relevant
1942,"May 1942 , Balck become commander 11th Panzer Division Soviet Union ",relevant
1942,"December 1942 , Soviet offensive along Chir River north Stalingrad , 11th Panzer Division crush ed Soviet assault series stunnin g counterattack ",relevant
1943,"Promoted lieutenant general January 1943 , Balck briefly command XIV Panzer Corps Salerno 1943 , injured airplane crash ",relevant
1943,"make general panzer troop November 1943 return duty commander XLVIII Panzer Corps , head fierce fight Kiev , Radomyshl , Tarnopol 1944 , corp destroyed three Soviet army ",relevant
1944,"August 1944 , Balck Mellenthin take Fourth Panzer Army ",relevant
1944,"Septe mber 1944 , Balck assume command Army Group G west ",relevant
1945,"Patton Third Army prevent mission interfere Ardennes Offensive Battle Bulge , December 16 , 1944Janu ary 25 , 1945 ",relevant
1947,Balck remain captivity 1947 ,relevant
1944,"Army official history tend dismiss role September 1Decembe r 18 , 1944 , Lorraine Campaign ",relevant
1956,"widely regard 1956 book , Panzer Battles , Mellenthin reject standard portrayal Balck Lorraine Campaign call Germ anys fine field commander ",relevant
1982,"Balck die ErbenbachRockenau , Germany , November 29 , 1982 ",relevant
1981,"Osnabrck , Germany Biblio , 1981 ",relevant
1992,"London Arms Armour , 1992 ",irrelevant
1956,"Norman University Oklahoma Press , 1956 ",relevant
1867,"Stanley Baldwin born August 3 , 1867 , Bewdley , Worcestershire , England , wealthy politically prominent family ",relevant
1892,Stanley Baldwin father serve Conservative Parliament begin 1892 ,relevant
1908,"father father Alfred die 1908 , young Baldwin take father seat Parliament ",relevant
1917,"1917 , Baldwin become financial secretary treasury World War push hard pay Britain war debt ",relevant
1921,Baldwin become president Board Trade 1921 soon thereafter chancellor exchequer ,relevant
1923,"May 1923 , become prime minister first time ",irrelevant
1924,"January 1924 defeat effort pas trade protection legislation , Bald win resign post ",irrelevant
1924,"November 1924 , however , return power , time nearly five year ",irrelevant
1925,"Baldwin also champion 1925 Locarno Pacts , attempt normalize international relation World War ",relevant
1929,"Baldwin party lose May 1929 election , Baldwin left fice follow month ",irrelevant
1931,"1931 amid domestic international financial crisis precipitate global economic depression , Baldwin played key role formation national coalition government Labor leader Ramsay MacDonald ",relevant
1935,Baldwin begin Baldwin third stint prime minister June 1935 ,irrelevant
1936,"1936 , Baldwin government resolve begin general rearmament effort face German Italian recalcitrance ",relevant
1937,"May 1937 wake King Edward VII abdication crisis , Baldwin handle quite deftly , prime minister resign retire politics , exhaust prime minister last tenure office ",relevant
1939,"World War II begin 1939 , Baldwin tend revile many appeaser slowly grasped peril pose Hitler Germany ",relevant
1938,", fact , statesman comprehen ded Hitler true motif prior 1938 , Baldwin best Baldwin could give domestic limitation Baldwin face 1930s ",relevant
1947,"Baldwin die Stourporton Severn , Worcestershire , December 14 , 1947.PAUL G",relevant
1945,Road 1945 British Politics Second W orld W ar ,relevant
1994,"London Pimlico , 1994 ",irrelevant
1999,"Cambridge Cambridge University Press , 1999 ",irrelevant
1942,"Balikpapan , Battle January 24 , 1942 January 21 , 1942 , Japanese capture Tarakan northern Borneo , Japanese troop convoy sail Balikpapan , port important oil field twothirds way Borneo east coast ",relevant
1145,"Dutch garrison ignite oil field , thick black smoke reduce visibility .At 1145 p.m",irrelevant
2003,Naval Institute April 2003 80 83 ,irrelevant
1942,"3 , Rising Sun Pacific , 1931April 1942 ",relevant
1948,"Boston Little , Brown , 1948 ",relevant
1953,"Annapolis , MD Naval Institute Press , 1953 ",irrelevant
1976,"Annapolis , MD Naval Institute Press , 1976 ",irrelevant
1939,"1939 , six state south line Alban ia , Greece , Bulgaria , European urkey , ugoslavia , southeastern Romania ",relevant
1940,"rapid collapse Franc e MayJune 1940 , Soviet leader Joseph Soviet leader Joseph Stalin move swiftly secure gain promise Soviet leader Joseph Stalin August 1939 SovietGer man pact ",relevant
1940,"late June 1940 , Soviet leader Joseph Stalin order annexation Romanian province Bessarabia northern Bukovina ",relevant
1939,"Bessarabia assign Soviet sphere August 23 , 1939 , Nazi Soviet Non Aggression Pact , northern northern Bukovina not ",irrelevant
1939,"April 1939 , Italian dictator Benito Mussolini order Italian force seize Albania ",relevant
1940,"October 28 , 1940 , Italian dictator Benito Mussolini sent Hitler army Greece Albania , withou inform Hitler advance ",relevant
1940,"November 1940 , Hitler force Hungary andRomania join Axis power accept German troop ",relevant
1941,Bulgaria follow suit begin March 1941 ,relevant
1941,"Meanwhile early March 1941 honor pledge defend Greece , British prime minister Winston L",relevant
1941,"German invasion Yugoslavia begin April 6 , 1941 , Luftwaf fe attack Belgrade claimed 17,000 life ",relevant
1941,"May 1941 , Germans continued Germans push south occupy Crete first airborne invasion history ",irrelevant
1944,"begin Axis occupation , Balkans theater ripe guerrilla warfare Red Army invade August 1944 ",relevant
1941,German paratrooper capture British soldier German invasion Crete May 1941 ,relevant
1943,"Ullstein Bild via Getty Images Italy left war Septe mber 1943 , Germany provide occupy force Germany , severely strain resource men material ",relevant
1944,"late August 1944 , Red Army 2nd 3rd Ukrainian Fronts launch offensive Rom ania Army Group South Ukraine ",relevant
1944,"case Romania , event occur August 23 September 4 , Bulgaria , Romania Bulgaria take place August 25 December 8 , 1944 ",relevant
1944,"Greec e , communist make three attempt seize power first come 19431944 Axis occupation anticipation early end war , second occur Athens December 1944 , third effort come form bloody prolong civil war 1946 1949 ",relevant
1944,"immediat e postwar period , alignment Balkans actually work large along line agreement make Churchill Stalin Mosc ow October 1944 ",relevant
5050,"ugoslavia , 5050 arrangement , freed Greece Moscow grip 1949 , pursue independent , nonaligned foreign policy .THOMAS J",relevant
1994,"Boulder , CO W estview , 1994 ",relevant
1941,"Invasion Balkans German Campa ign Balkans , Spring 1941 ",relevant
1997,"Shippensbur g , PA Burd Street , 1997 ",relevant
2000,"New York Viking Penguin , 2000 ",relevant
2001,"Shippensbur g , PA White Mane , 2001 ",relevant
1993,"New , CT Yale University Press , 1993 ",relevant
1949,"London HartDavis , MacGibbon , 1949 ",irrelevant
1944,"Balloon Bombs Operation FUGO November 1944 July 1945 , Japanese Army launch balloon bomb carry jet stream across Pacific Ocean Japan North America ",relevant
1942,"operation plan Colonel Kusaba Sueki 9th Research Division reprisal Doolittle Raid Tokyo April 18 , 1942 ",relevant
1945,"report fatality balloon bomb one woman five child kill picnic Oregon May 5 , 1945 ",irrelevant
1990,"Washington , DC Smithsonian Institution Press , 1990 ",relevant
1992,"Central Point , W ebb Research Group , 1992 ",relevant
1939,"1939 , major power bordering Baltic Sea , Naval Operations Baltic Sea shore Germany Soviet Union , Poland , Sweden , Finland also maintain moderate small naval force ",relevant
1939,"first naval action Baltic fought short campaign spark Germany invasion Poland September 1 , 1939 ",relevant
1939,"Kriegsmarine hunt remainder Poland navywhich include another destroyer , large minelayer , small vessel , five submarinesand even dispatch destroyer Polish naval base Hel September 3 , 1939 ",relevant
1941,"state affair last June 22 , 1941 , Germany invade Soviet Union ",relevant
1941,"Baltic Fleet major action 1941 breakout Tallinn Kron stadt August 28 , 68 Soviet merchant ship 128 warship torpedo cutter cruiser ran gauntlet German mine , aircraft , coastal battery , motor torpedo boat , lose process 5 destroyer , 3 guard ship , 5 warship , 34 civilian ship ",relevant
1941,"September 1941 , German chancellor Adolf Hitler order formation Baltic fleet center battleship Tirpitz case Soviets ship attempt break Sweden , never need , season end Soviet fleet bottle Kronstadt , many unit damage crew draft fight ground unit ",relevant
1942,"May 1942 Soviets prepared submarine break Baltic , Germans refresh submarine massive mine barrage seal Germans ",irrelevant
1943,"April 1943 , Finnish German force place two row antisubmarine net Finland Estonia ",relevant
1944,"1944 , ground advance finally allow Soviets break blockade Kronstadt ",irrelevant
1944,"Although Germans strenuously sought maintain Germans minefield Gulf Finland , Soviet motor torpedo boat aircraft force patrol craft maintain barrage withdraw July 1944 ",relevant
1944,Finland driven war force sign armistice Soviets September 1944 ,relevant
1944,"Soviets mount amphibious invasion Estonian islan d September 29 , 1944 ",irrelevant
1944,"Octob er 1944 April 1945 , enjoy access open sea period account 37 ship sunk , total 102,856 gross register tonnage ",irrelevant
1944,"August 1944 , 2.4 million ton shippi ng ply Baltic sealanes Germ Courland bridgehead ",relevant
1944,"Even late Decembe r 1944 , traffic consist 575 vessel total 1.1 million ton ",relevant
2005,"London Routledge , 2005 ",relevant
2007,"Annapolis , MD Naval Institute Press , 2007 ",irrelevant
1979,"Annapolis , MD Naval Institute Press , 1979 ",irrelevant
1893,"Born Maubin , Burma today Myanmar , February 8 , 1893 , aristocratic family , Ba Maw graduate college Rangoon 1913 ",relevant
1930,"Ba Maw make Ba Maw mark defend Saya San , leader Thayawaddy peasant uprise 1930 ",relevant
1933,"1933 , Ba Maw organize moderate political party know Simyetta People Party ",relevant
1937,"April 1937 , Ba Maw appoint first prime minister Burma Crown Colony government Burma officially separate India ",relevant
1939,"Facing radical labor student unrest , resigne March 1939 ",irrelevant
1940,"Protesting British policy toward Burma , quit legislature 1940.Ba Maw arrest imprison British August 1940 charge maintain contact Japanese advocate noncollaboration British war effort ",relevant
1942,"Escaping prison August 1942 , Ba Maw come protection Japanese force advance Rangoon ",relevant
1943,"Japan recognize Burma independent state August 1943 , Ba Maw become chief state new Republic Burma take title Adipati Chief , lead authoritarian , oneparty state ",relevant
1943,"November 1943 , Ba Maw attend Greater East Asia Conference Tokyo Asian leader collaborate Japan ",relevant
1945,"Burmese Army , lead Aung San , revolt March 1945 , Allied force defeat Japanese Burma next month , Ba Maw flee Tokyo via Bangkok ",relevant
1945,"August 1945 , Japan surrender , Ba Maw arrest intern Sugamo Prison , Tokyo ",relevant
1946,"Released July 1946 , Ba Maw return Burma resume Ba Maw political activity ",relevant
1962,"Ba Maw retire politics 1962 milita ry , lead Nu , carry another coup dtat ",relevant
1968,Ba Maw publish autobiography 1968 ,relevant
1977,"Ba Maw die Yangon Rangoon May 29 , 1977 ",relevant
1984,"Martin , 1984 ",relevant
1968,"New , CT Yale University Press , 1968 ",relevant
1913,"Born Sommerfeld , Germany , March 25 , 1913 , Heinrich Pritzel Br join Luftwaf fe 1937 begin World War II unterof fizier corporal ",relevant
1939,"September 25 , 1939 , Br score first confirm victory kill ",relevant
1940,"May 10July 11 , 1940 , Battle France , earn battlefield commission lieutenant ",relevant
1940,"Br fought Battle Britain July 10September 30 , 1940 , raise kill total 27 ",relevant
1941,"Transferring Soviet Front 1941 first lieuten ant , Br continued score victory aerial combat ",relevant
1942,"spring 1942 , newly promote Captain Br assign commander JG77 North African Campaign , fly Sicily ",relevant
1945,"Januar 1945 , Br take command JG1 , jet fighter training unit ",relevant
1957,"Br die airplane crash Brunswick , Germany , demonstrate capability light plane April 28 , 1957 ",relevant
1981,"Stillwell , KS Bender Publishers , 1981 ",irrelevant
1962,"Batsford , 1962 ",irrelevant
1984,"New ork Blandford , 1984 ",relevant
1941,"BARBAROSSA , Operation June 22 , 1941 German invasion Soviet Union open World War II Eastern Front ",relevant
1914,"Whatever direction German attack , Stalin count repeat stalemate Western Front 1914 1918 least campaignlasting year ",relevant
1941,"Critical ensure ability Soviet Union fight protract war would denial eastern Ukraine Germans , much Soviet armor position forward June 1941 ",relevant
1937,"factor , plus selfinflicted decapitation Soviet arme force 1937 purge liquidate 60 75 percent senior officer corp , left Red Army unable prevent W ehrmacht achieve tremendous initial victory ",relevant
1812,"Hitler order preparation invasion Soviet Union complete May 15 , assault not actually occur June 22 , almost day Napoleon Bonaparte begin Napoleon Bonaparte illfated invasion Russia 1812 ",relevant
1941,"Soviet tank move battle front June 22 , 1941 , first day German invasion Soviet Union Operation BARBAROSSA ",relevant
1941,"HultonDeutsch CollectionCorbis Germany deployed 6,000 tank , Soviets 23,140 10,394 westand even 1941 , Soviets possess best tank war ",relevant
1941,"Similarly , Soviet T34 medium tank KV1 heavy tank superior PzKpfw III IV indeed German tank June 1941 ",relevant
1941,"June 22 , 1941 , long day year , two hour total darkness ",irrelevant
1941,"Leningrad nearly surround , Crimea take along Odessa , Kharkov , RostovonDon , achievement shortlived , along entire front , Soviets open Soviets first major counterof fensive early December 1941 ",relevant
1941,"strategic objective not change , strategic objective argue Operation BARBAROSSA continued entire period Germany strategic advance , surprise attack June 22 , 1941 , assault stall Moscow November ",relevant
